X, Y, Z, Time
x:1.487001,y:-0.2029999,z:1.386,time:1.224373
x:1.487001,y:-0.2029999,z:1.386,time:1.224373
x:1.487001,y:-0.2029999,z:1.386,time:1.226658
x:1.487001,y:-0.2029999,z:1.386,time:1.226658
x:1.487001,y:-0.2029999,z:1.386,time:1.228899
x:1.487001,y:-0.2029999,z:1.386,time:1.228899
x:1.487001,y:-0.2029999,z:1.386,time:1.231365
x:1.487001,y:-0.2029999,z:1.386,time:1.231365
x:1.487001,y:-0.2029999,z:1.386,time:1.233636
x:1.487001,y:-0.2029999,z:1.386,time:1.233636
x:1.487001,y:-0.2029999,z:1.386,time:1.235881
x:1.487001,y:-0.2029999,z:1.386,time:1.235881
x:1.487001,y:-0.2029999,z:1.386,time:1.238232
x:1.487001,y:-0.2029999,z:1.386,time:1.238232
x:1.487001,y:-0.2029999,z:1.386,time:1.240715
x:1.487001,y:-0.2029999,z:1.386,time:1.240715
x:1.487001,y:-0.2029999,z:1.386,time:1.243291
x:1.487001,y:-0.2029999,z:1.386,time:1.243291
x:1.487001,y:-0.2029999,z:1.386,time:1.245671
x:1.487001,y:-0.2029999,z:1.386,time:1.245671
x:1.487001,y:-0.2029999,z:1.386,time:1.248024
x:1.487001,y:-0.2029999,z:1.386,time:1.248024
x:1.487001,y:-0.2029999,z:1.386,time:1.250285
x:1.487001,y:-0.2029999,z:1.386,time:1.250285
x:1.487001,y:-0.2029999,z:1.386,time:1.252563
x:1.487001,y:-0.2029999,z:1.386,time:1.252563
x:1.487001,y:-0.2029999,z:1.386,time:1.254945
x:1.487001,y:-0.2029999,z:1.386,time:1.254945
x:1.487001,y:-0.2029999,z:1.386,time:1.257313
x:1.487001,y:-0.2029999,z:1.386,time:1.257313
x:1.487001,y:-0.2029999,z:1.386,time:1.259597
x:1.487001,y:-0.2029999,z:1.386,time:1.259597
x:1.487001,y:-0.2029999,z:1.386,time:1.261953
x:1.487001,y:-0.2029999,z:1.386,time:1.261953
x:1.487001,y:-0.2029999,z:1.386,time:1.264508
x:1.487001,y:-0.2029999,z:1.386,time:1.264508
x:1.487001,y:-0.2029999,z:1.386,time:1.266803
x:1.487001,y:-0.2029999,z:1.386,time:1.266803
x:1.487001,y:-0.2029999,z:1.386,time:1.269063
x:1.487001,y:-0.2029999,z:1.386,time:1.269063
x:1.487001,y:-0.2029999,z:1.386,time:1.271363
x:1.487001,y:-0.2029999,z:1.386,time:1.271363
x:1.487001,y:-0.2029999,z:1.386,time:1.273753
x:1.487001,y:-0.2029999,z:1.386,time:1.273753
x:1.487001,y:-0.2029999,z:1.386,time:1.276097
x:1.487001,y:-0.2029999,z:1.386,time:1.276097
x:1.487001,y:-0.2029999,z:1.386,time:1.278603
x:1.487001,y:-0.2029999,z:1.386,time:1.278603
x:1.487001,y:-0.2029999,z:1.386,time:1.2809
x:1.487001,y:-0.2029999,z:1.386,time:1.2809
x:1.487001,y:-0.2029999,z:1.386,time:1.283326
x:1.487001,y:-0.2029999,z:1.386,time:1.283326
x:1.487001,y:-0.2029999,z:1.386,time:1.285588
x:1.487001,y:-0.2029999,z:1.386,time:1.285588
x:1.487001,y:-0.2029999,z:1.386,time:1.287903
x:1.487001,y:-0.2029999,z:1.386,time:1.287903
x:1.487001,y:-0.2029999,z:1.386,time:1.290331
x:1.487001,y:-0.2029999,z:1.386,time:1.290331
x:1.487001,y:-0.2029999,z:1.386,time:1.292652
x:1.487001,y:-0.2029999,z:1.386,time:1.292652
x:1.487001,y:-0.2029999,z:1.386,time:1.295029
x:1.487001,y:-0.2029999,z:1.386,time:1.295029
x:1.487001,y:-0.2029999,z:1.386,time:1.297325
x:1.487001,y:-0.2029999,z:1.386,time:1.297325
x:1.487001,y:-0.2029999,z:1.386,time:1.299574
x:1.487001,y:-0.2029999,z:1.386,time:1.299574
x:1.487001,y:-0.2029999,z:1.386,time:1.301885
x:1.487001,y:-0.2029999,z:1.386,time:1.301885
x:1.487001,y:-0.2029999,z:1.386,time:1.304314
x:1.487001,y:-0.2029999,z:1.386,time:1.304314
x:1.487001,y:-0.2029999,z:1.386,time:1.310318
x:1.487001,y:-0.2029999,z:1.386,time:1.310318
x:1.487001,y:-0.2029999,z:1.386,time:1.312806
x:1.487001,y:-0.2029999,z:1.386,time:1.312806
x:1.487001,y:-0.2029999,z:1.386,time:1.315061
x:1.487001,y:-0.2029999,z:1.386,time:1.315061
x:1.487001,y:-0.2029999,z:1.386,time:1.317344
x:1.487001,y:-0.2029999,z:1.386,time:1.317344
x:1.487001,y:-0.2029999,z:1.386,time:1.319611
x:1.487001,y:-0.2029999,z:1.386,time:1.319611
x:1.487001,y:-0.2029999,z:1.386,time:1.321946
x:1.487001,y:-0.2029999,z:1.386,time:1.321946
x:1.487001,y:-0.2029999,z:1.386,time:1.324497
x:1.487001,y:-0.2029999,z:1.386,time:1.324497
x:1.487001,y:-0.2029999,z:1.386,time:1.326901
x:1.487001,y:-0.2029999,z:1.386,time:1.326901
x:1.487001,y:-0.2029999,z:1.386,time:1.329176
x:1.487001,y:-0.2029999,z:1.386,time:1.329176
x:1.487001,y:-0.2029999,z:1.386,time:1.331469
x:1.487001,y:-0.2029999,z:1.386,time:1.331469
x:1.487001,y:-0.2029999,z:1.386,time:1.333745
x:1.487001,y:-0.2029999,z:1.386,time:1.333745
x:1.487001,y:-0.2029999,z:1.386,time:1.336052
x:1.487001,y:-0.2029999,z:1.386,time:1.336052
x:1.487001,y:-0.2029999,z:1.386,time:1.338384
x:1.487001,y:-0.2029999,z:1.386,time:1.338384
x:1.487001,y:-0.2029999,z:1.386,time:1.34078
x:1.487001,y:-0.2029999,z:1.386,time:1.34078
x:1.487001,y:-0.2029999,z:1.386,time:1.343324
x:1.487001,y:-0.2029999,z:1.386,time:1.343324
x:1.487001,y:-0.2029999,z:1.386,time:1.345624
x:1.487001,y:-0.2029999,z:1.386,time:1.345624
